workers,segments,duration_secs,wall_time_reported_secs,cpu_avg,cpu_max,mem_avg,mem_max,read_bytes,write_bytes,samples_count
1,4,6.763122081756592,6.52,25.887878787878787,58.3,70.5030303030303,71.0,40189952,146124800,33
2,4,3.4777169227600098,3.36,31.247058823529414,63.2,70.49411764705881,70.7,5861376,55623680,17
4,4,2.0459258556365967,1.79,53.42,69.5,70.57000000000001,70.8,3133440,29937664,10
8,4,2.2420449256896973,1.96,58.89090909090908,79.0,70.68181818181819,70.8,1142784,26214400,11
